Customer_First,Customer_Last,Address,Email,2021_Visits,2021_Total_Spend,Pet_Type
Brogan,Marvin,62029 Carter Walk Suite 894,fshaw@gmail.com,75,1293.75,dog
Brittany,Gutkowski,675 Garza Terrace Apt. 982,andersonlorraine@hotmail.com,45,776.25,dog
Wesley,Gulgowski,681 Stark Cape,anthony55@yahoo.com,96,1656.0,dog
Hazle,Wunsch,26559 Osborne Locks Suite 371,spencermorgan@yahoo.com,93,1604.25,cat
Emit,Hirthe,282 Cox Extension Suite 503,lopezsarah@hotmail.com,64,1104.0,dog
Hymen,Schiller,016 Jackson Skyway,carlyjohnson@yahoo.com,53,914.25,cat
Florie,Greenholt,2072 April Hills,ubranch@yahoo.com,9,155.25,cat
Robbie,Schaden,431 Grant Extensions Apt. 754,millertara@yahoo.com,62,1069.5,hamster
Teddie,Nikolaus,3614 Patterson Hills,jeremy94@gmail.com,64,1104.0,fish
Taurean,Nader,006 Marsh Road,christina38@hotmail.com,90,1552.5,bird
Louanna,Friesen,1658 Cynthia Fords,michaelgrant@hotmail.com,8,138.0,cat
Brittnay,Wilderman,459 Ronald Valleys Suite 799,tiffany88@yahoo.com,78,1345.5,dog
Waylon,Hoeger,5096 Jeffrey Burgs,hartmanrobert@hotmail.com,44,759.0,fish
Belia,Kub,2311 Austin Tunnel,pmartinez@yahoo.com,92,1587.0,bird
Elyse,Mitchell,86995 Harrison Drive Apt. 733,katherineanderson@hotmail.com,86,1483.5,cat
Teagan,Borer,594 Kyle Well Apt. 530,nixontonya@hotmail.com,33,569.25,cat
Butch,Renner,688 Jeffrey Falls,alexander25@hotmail.com,35,603.75,cat
Webster,Cassin,7518 Macias Point Suite 942,jacobrobinson@hotmail.com,89,1535.25,cat
Redmond,Quitzon,4213 Ariana Summit Apt. 400,rebeccastanley@hotmail.com,71,1224.75,cat
Broderick,Barrows,94960 Hoffman Inlet Apt. 610,jack27@hotmail.com,20,345.0,fish
Unique,Keebler,904 Fischer Mountain,todd79@yahoo.com,63,1086.75,cat
Verna,Ullrich,41956 Burnett Plains Apt. 102,joshua15@hotmail.com,16,276.0,dog
Caroline,Dare,7814 Brown Underpass,newtonsean@hotmail.com,36,621.0,cat
Ethen,Gislason,90100 Michael Flat,markpotter@gmail.com,29,500.25,turtle
Maria,Wilkinson,5074 Turner Lakes,warrenannette@yahoo.com,70,1207.5,turtle
Gay,Wuckert,775 Jones Dale Apt. 763,stonedaniel@gmail.com,16,276.0,cat
Jeri,Emard,28564 Richard Trail Suite 044,blewis@hotmail.com,33,569.25,turtle
True,Schaden,82865 Jason Isle,andrea89@gmail.com,95,1638.75,cat
Yuridia,Corwin,35267 Chad Shore,gmiller@yahoo.com,99,1707.75,cat
Caren,Heathcote,54792 Frank Cove Suite 572,santanajimmy@gmail.com,32,552.0,cat
Jeanmarie,Schoen,4124 Robert Coves Suite 090,james26@gmail.com,53,914.25,cat
Victor,Hessel,296 Jody Green,elizabeth73@hotmail.com,59,1017.75,cat
Ruthe,Crona,407 Shields Dam,ymccann@hotmail.com,65,1121.25,dog
Cleveland,Russel,62356 Allen Spring Apt. 040,kcurry@gmail.com,31,534.75,bird
Corinna,Donnelly,6678 Barnes Plains,belltina@gmail.com,36,621.0,turtle
Ayana,Medhurst,0078 Jeff Fall,hcampbell@hotmail.com,72,1242.0,dog
Tanner,Durgan,142 Mccarthy Glen,joyce12@gmail.com,98,1690.5,bird
Roxann,Bosco,49048 John Gateway,sheltonbianca@hotmail.com,80,1380.0,cat
Eleonora,Shanahan,368 Humphrey Squares Apt. 723,tbraun@gmail.com,81,1397.25,dog
Antwan,Abernathy,511 Howell Spurs Apt. 193,jennifer86@gmail.com,12,207.0,hamster
Shaniya,Kuphal,4078 Smith Garden,zachary29@yahoo.com,59,1017.75,hamster
Hymen,Gibson,1846 Carrie Port Apt. 016,brandy18@yahoo.com,34,586.5,cat
Leonor,Heller,44296 Johnson Tunnel,shaun33@yahoo.com,74,1276.5,hamster
Cherilyn,Parisian,980 Lewis Village Apt. 056,scottdecker@gmail.com,30,517.5,hamster
Olar,Rice,5162 Romero Springs,tgilmore@yahoo.com,47,810.75,hamster
Erlinda,Schaefer,074 Kristen Fields Apt. 593,mrichardson@hotmail.com,61,1052.25,cat
Kanisha,Larkin,79241 Bates Walks Suite 785,millernicholas@yahoo.com,11,189.75,dog
Ceasar,Davis,9955 Robbins Mountain Suite 157,veronicahall@gmail.com,87,1500.75,dog
Salma,Rempel,7263 Kimberly Radial,gmoore@hotmail.com,98,1690.5,bird
Denisha,Tromp,3925 Ortiz Place,moorebrittney@gmail.com,64,1104.0,dog
Byron,Bednar,6604 Ryan Island Suite 206,fdixon@hotmail.com,71,1224.75,cat
Ples,Treutel,74745 Castro Loaf Apt. 413,xhorn@hotmail.com,26,448.5,cat
Edyth,Hoppe,38755 Christopher Locks,manuel19@hotmail.com,86,1483.5,cat
Earlene,Lynch,74214 Powell Orchard Suite 387,jonhouse@hotmail.com,16,276.0,dog
Anissa,Prosacco,8969 Maddox Crescent Apt. 925,michael06@yahoo.com,70,1207.5,cat
Whitney,Stamm,340 Butler Field,rebekahsmith@hotmail.com,25,431.25,dog
Renita,Hansen,7680 Patrick Loop,sanfordrobert@gmail.com,97,1673.25,cat
Adelle,Cronin,17703 Stephen Lodge,meghan27@yahoo.com,26,448.5,cat
Love,Tromp,39778 Wong Road Suite 667,courtneyhart@hotmail.com,84,1449.0,dog
Venus,VonRueden,591 Brown Estates,freynolds@yahoo.com,7,120.75,cat
Theo,Schmeler,7426 Angela Port,guerrerofrank@yahoo.com,77,1328.25,fish
Ted,Gorczany,5517 Stephanie Overpass Apt. 661,jasminebrown@gmail.com,93,1604.25,cat
Denis,Christiansen,6275 Jeffrey Circles,riveraroger@yahoo.com,28,483.0,cat
Blaise,Waelchi,863 Mathews Locks,kim09@hotmail.com,11,189.75,cat
Izabelle,Rodriguez,25823 Moreno Bridge,rebecca31@hotmail.com,63,1086.75,hamster
Lum,Dietrich,06822 Johnson Pines,apeterson@yahoo.com,42,724.5,cat
Jada,Gusikowski,30153 Denise Islands,stephaniejackson@gmail.com,10,172.5,dog
Nelle,Parker,0429 Kristin Mills,warnervirginia@hotmail.com,67,1155.75,fish
Magdalena,Jacobson,02926 Gary Stream,gregorywatts@yahoo.com,73,1259.25,dog
Posey,Pfeffer,3623 Zachary Valleys Suite 072,connerchristine@gmail.com,15,258.75,cat
Bee,Grady,96339 Sparks Land,stephanieaguirre@gmail.com,95,1638.75,cat
Fount,Price,09552 Patrick Gardens,collinssean@gmail.com,94,1621.5,dog
Cherri,Halvorson,3925 Ramirez Circles,ejenkins@hotmail.com,50,862.5,cat
Jaelynn,Schamberger,56306 Courtney Islands,bailey91@gmail.com,63,1086.75,turtle
Adonis,Gleason,0706 Angela Ford,shudson@gmail.com,54,931.5,cat
Sina,Kirlin,410 Kristin Plaza Suite 433,crystal83@hotmail.com,67,1155.75,fish
Britt,Dicki,01004 Vanessa Lane,yhill@gmail.com,79,1362.75,bird
Aletha,Lynch,2544 Donald Mission Suite 245,amyscott@yahoo.com,20,345.0,dog
Isa,Rippin,8924 Lutz Spur Apt. 775,ginamartinez@yahoo.com,65,1121.25,dog
Lexus,Dickens,346 Flores Neck,gordon43@hotmail.com,74,1276.5,cat
Corrina,Schulist,6537 Jeffrey Isle,hinesmisty@gmail.com,79,1362.75,turtle
Shelva,Hegmann,01245 Brown Branch,teresawhite@hotmail.com,18,310.5,turtle
Deasia,Murazik,403 Ashley Parkways,jeffrey95@yahoo.com,35,603.75,bird
Carley,Turcotte,63571 Bowman Wall Apt. 275,renee63@gmail.com,88,1518.0,cat
Kiera,Gutmann,284 Rebekah Mount,cynthia63@gmail.com,84,1449.0,cat
Judi,Jenkins,331 Henry Camp,davidlewis@gmail.com,38,655.5,dog
Gilbert,Schumm,7535 Kayla Corners,joann59@hotmail.com,95,1638.75,cat
Lacey,Lang,9561 Mark Park,ryang@hotmail.com,18,310.5,cat
Forrest,Predovic,256 Bennett Camp,rowemichael@yahoo.com,7,120.75,cat
Alleen,Waelchi,715 Hahn Oval,danieldavidson@yahoo.com,15,258.75,cat
Vergil,Blick,8903 Mcgee Island,qsilva@yahoo.com,30,517.5,dog
Mallory,Lynch,47895 Christine Lodge Apt. 663,chamilton@yahoo.com,43,741.75,cat
Dulce,Beahan,165 Barnett Hill,ssmith@yahoo.com,16,276.0,dog
Renae,Harber,1473 Moore Island Suite 010,randallward@yahoo.com,4,69.0,turtle
Randal,Miller,0749 Todd Turnpike,sroberts@gmail.com,99,1707.75,cat
Dann,Kozey,6408 Brandy Burgs Suite 435,glin@gmail.com,84,1449.0,cat
Tamya,Zieme,31659 Felicia Wells,qanderson@hotmail.com,47,810.75,cat
Jasmyne,Schmeler,8236 Terry Harbor,tylerdavid@gmail.com,21,362.25,bird
Jenilee,Spinka,6210 Denise Rapid Suite 357,tgreen@hotmail.com,86,1483.5,dog
Jazmyn,Boyer,3875 Amber Lakes,zcolon@gmail.com,28,483.0,dog
Nunzio,Altenwerth,31554 Christian Plains Apt. 257,jenkinsmatthew@gmail.com,96,1656.0,cat
Hays,Schuster,095 Laura Course Apt. 766,kriley@gmail.com,92,1587.0,cat
Giovanni,Dicki,000 Jose Crossroad Apt. 269,mcdonaldamy@gmail.com,80,1380.0,cat
Denzil,Beer,635 Ingram Hills Suite 346,mcaldwell@gmail.com,37,638.25,cat
Olene,Mohr,721 Mosley Extensions,armstrongcolleen@gmail.com,79,1362.75,cat
Najee,Eichmann,4803 Morgan Rapids Suite 824,gclayton@gmail.com,88,1518.0,cat
Lovett,Wilkinson,3373 Kelly Brook,andreatran@hotmail.com,43,741.75,cat
Natalya,Kohler,675 Armstrong Crest,meganturner@gmail.com,50,862.5,cat
Vince,Parisian,9835 Gibbs Knoll Apt. 013,bcoleman@hotmail.com,51,879.75,bird
Urijah,Thompson,00811 Paul Hill Apt. 978,staylor@yahoo.com,75,1293.75,cat
Artis,Gottlieb,40249 Foster Trail Apt. 921,jonathanbennett@yahoo.com,54,931.5,fish
Lance,Hamill,44812 Roberts Islands,benjaminrose@gmail.com,21,362.25,cat
Athena,Pfeffer,87298 Ross Grove Apt. 184,courtney48@hotmail.com,39,672.75,cat
Jayvon,Herman,896 Heather Extensions Apt. 149,upayne@hotmail.com,71,1224.75,turtle
Regenia,Klein,6818 Grimes Fords Suite 793,cphillips@yahoo.com,39,672.75,cat
Corrie,Greenfelder,416 Victoria Isle,jamiemartin@gmail.com,98,1690.5,dog
Antonina,Roberts,075 Gail Springs,donna34@yahoo.com,54,931.5,turtle
Elyssa,Braun,06998 Anthony Prairie,qwilliams@yahoo.com,52,897.0,cat
Vic,VonRueden,504 Prince Trafficway,deborah39@gmail.com,6,103.5,dog
Hung,Keebler,0484 Brittany Harbor Suite 958,daveshepard@gmail.com,91,1569.75,dog
Maurine,Mueller,909 Davis Road,snyderlauren@gmail.com,90,1552.5,cat
Lucien,Greenfelder,1307 Richardson Burg Suite 834,danielbernard@gmail.com,28,483.0,dog
Frank,Zulauf,9433 Donald Motorway,barryamy@yahoo.com,46,793.5,dog
Adrain,Carroll,842 Mullins Cliffs,wbrown@gmail.com,42,724.5,dog
Tina,Bogisich,0275 James Park,laurajones@yahoo.com,80,1380.0,dog
Tad,Batz,7268 Anne Square,elizabethtaylor@hotmail.com,38,655.5,dog
Ashanti,Shanahan,26410 Roberts Lodge Apt. 917,nathan44@hotmail.com,63,1086.75,cat
Sharonda,Hilll,0313 Carl Via Apt. 117,ashley08@gmail.com,78,1345.5,dog
Alisson,Botsford,4265 Rosario Port,patrick39@hotmail.com,78,1345.5,dog
Elle,Raynor,359 Sanchez Manor Apt. 946,bakermichael@yahoo.com,59,1017.75,cat
Elizabet,King,678 Caleb Garden,ernestjohnston@yahoo.com,77,1328.25,cat
Nallely,Tromp,24950 Kristina Mountains,michael76@gmail.com,92,1587.0,dog
Tucker,Predovic,4408 Daniel Stream Suite 363,abeltran@hotmail.com,41,707.25,cat
Kenisha,Hauck,057 Rachel Hills Suite 036,williamsmith@hotmail.com,43,741.75,cat
Karrie,Kihn,6902 William Fields Suite 210,nlee@hotmail.com,94,1621.5,turtle
Susana,Bailey,3532 Paul Knoll,iwood@gmail.com,61,1052.25,dog
Delta,Goldner,351 Mark Square Apt. 199,mjohnson@hotmail.com,27,465.75,dog
Eugenia,Adams,9736 Nathaniel Cape Apt. 239,xkramer@gmail.com,90,1552.5,turtle
Dolly,Mayer,65182 Dustin Lock Apt. 366,jeremy16@hotmail.com,83,1431.75,dog
Bobbye,Ledner,426 Ochoa Courts,ashley73@yahoo.com,92,1587.0,cat
Odessa,Kuhic,483 Melissa Pass,emmabrown@gmail.com,20,345.0,dog
Duard,Okuneva,340 Fuentes Drive,dwells@hotmail.com,50,862.5,dog
Leanne,Conroy,63571 Elizabeth Extensions,charlesbrittany@yahoo.com,41,707.25,dog
Dara,Powlowski,973 Allison Ports,weberdaniel@gmail.com,41,707.25,cat
Rosalee,Wilkinson,4437 Amber Crossroad Suite 938,shellyjennings@hotmail.com,95,1638.75,fish
Cassie,McCullough,9286 Donna Canyon,aaronnewman@hotmail.com,91,1569.75,cat
Treasure,Rolfson,0243 Victoria Crossroad,nguyenvictoria@yahoo.com,74,1276.5,cat
Smith,Lowe,602 Charles Keys Suite 397,santananicole@gmail.com,27,465.75,cat
Tyrel,Fahey,6165 Andrew Drive Suite 581,michaelpoole@gmail.com,6,103.5,dog
Jaliyah,Gutmann,25537 Ivan Junctions Suite 546,marydaniel@yahoo.com,39,672.75,bird
Trinidad,Toy,40153 Jessica Plaza,michelle87@hotmail.com,40,690.0,cat
Neveah,Cummings,762 Douglas Route,ewatson@gmail.com,41,707.25,cat
Marsha,Aufderhar,797 Stephanie Creek,barry38@yahoo.com,10,172.5,cat
Sharron,Flatley,78369 Matthew Locks Suite 496,smithsarah@gmail.com,66,1138.5,cat
Colbert,Goodwin,485 Robinson Mission,joshuawoods@yahoo.com,66,1138.5,dog
Anastacia,Bergnaum,685 Brent Lock,barrettbarbara@gmail.com,64,1104.0,cat
Kelsie,VonRueden,529 Kelly Manors,ycolon@yahoo.com,66,1138.5,bird
Mame,Emmerich,660 Brittany View,joshua23@gmail.com,3,51.75,dog
Julianne,Gusikowski,2631 Spencer Square,nmoody@hotmail.com,17,293.25,cat
Kennedy,Doyle,9829 Lisa Manors Suite 209,ohull@yahoo.com,30,517.5,hamster
Arden,Becker,1605 Davis Radial,ukramer@gmail.com,25,431.25,bird
Ailene,Beer,9085 Mason Mills Suite 268,ranthony@yahoo.com,44,759.0,dog
Waymon,Collins,336 Cooper Harbors Suite 485,lorimccullough@hotmail.com,96,1656.0,fish
Georganna,Cummings,8055 Kennedy Drive,allendarius@gmail.com,96,1656.0,cat
Cathryn,Dickinson,458 Reed Rapids,claytonperry@yahoo.com,21,362.25,cat
Marisol,Bode,383 Miller Run,troy40@gmail.com,8,138.0,cat
Wendell,Roob,00128 Jody Islands Apt. 518,jason41@gmail.com,61,1052.25,cat
Mitch,Gerhold,18358 Terry Square,gleach@gmail.com,71,1224.75,cat
Efrem,Berge,679 Robles Lodge,lisa93@hotmail.com,99,1707.75,dog
Leone,Jones,5016 Haas Ferry Suite 498,thompsonlonnie@hotmail.com,33,569.25,bird
Shea,Nicolas,8071 Davis Burg Suite 036,karen90@yahoo.com,9,155.25,cat
Lillia,Bins,5761 Haley Vista Suite 913,vrodriguez@hotmail.com,40,690.0,cat
Donnie,Kerluke,9124 Lane Lake,seth24@gmail.com,41,707.25,fish
Tess,Haley,706 Barnes Burgs Apt. 005,schroederdavid@yahoo.com,4,69.0,fish
Ernst,Hessel,78829 Andrew Locks,barry05@yahoo.com,9,155.25,cat
Anders,Cronin,0027 Carrillo Fall Suite 216,tyler75@hotmail.com,89,1535.25,turtle
Cedrick,Wisoky,850 Shane Crest Apt. 800,erik12@yahoo.com,32,552.0,dog
Little,Barton,7873 Hicks Square Suite 597,zsmith@gmail.com,73,1259.25,cat
Gunner,Gottlieb,614 Warner Bridge,connorwhite@yahoo.com,98,1690.5,cat
Tyrese,Ratke,67111 Joshua Isle,stephanie00@gmail.com,54,931.5,cat
Vinie,Dickinson,8760 Ward Vista Apt. 723,jacksonlori@gmail.com,55,948.75,dog
Amari,Smitham,7068 Dana Stravenue Suite 333,kathleen81@gmail.com,60,1035.0,cat
Erasmus,Kirlin,063 Hall Point Apt. 633,charles37@hotmail.com,79,1362.75,cat
Olivine,Prohaska,23420 Carl Square,warrenjeffrey@hotmail.com,78,1345.5,dog
Wally,Kuhn,49626 Jessica Greens Apt. 527,robertsmakayla@gmail.com,15,258.75,dog
Harl,Hodkiewicz,096 Brown Motorway Suite 192,timosborne@hotmail.com,79,1362.75,dog
Royce,Hermiston,9187 Joe Field,nmejia@gmail.com,62,1069.5,cat
Helen,Hirthe,0280 Stanley Rue,millercorey@hotmail.com,6,103.5,turtle
Katarina,Mitchell,255 Regina Common Suite 811,williamcarlson@gmail.com,42,724.5,cat
Corene,Effertz,45557 Ashley Heights,znelson@yahoo.com,24,414.0,dog
Simeon,Barrows,491 Tanner Shoal Suite 713,andrew51@hotmail.com,50,862.5,cat
Less,Fay,50886 Michael Pine,mark66@yahoo.com,66,1138.5,cat
Giselle,Lesch,2253 Watson Mall,josephsmith@yahoo.com,21,362.25,dog
Chance,Kreiger,7602 Harmon Ferry,curtislogan@gmail.com,92,1587.0,dog
Donita,Torphy,54673 Erin Run,tnorman@hotmail.com,79,1362.75,bird
Loyd,Breitenberg,42465 Stephanie Spring,valerie19@hotmail.com,14,241.5,dog
Dock,Smitham,96061 Lopez Estate,marywagner@yahoo.com,68,1173.0,cat
Georgetta,D'Amore,39035 Browning Orchard Suite 174,clarkcameron@yahoo.com,83,1431.75,cat
